[2025-10-25 10:21:55] MEDIUM: High packet rate | src=20.20.11.112 rate=51.6 pkt/s
[2025-10-25 10:21:55] MEDIUM: High packet rate | src=20.20.11.112 rate=51.7 pkt/s
[2025-10-25 10:21:55] MEDIUM: High packet rate | src=20.20.11.112 rate=51.7 pkt/s
[2025-10-25 10:21:55] MEDIUM: High packet rate | src=20.20.11.112 rate=51.7 pkt/s
[2025-10-25 10:21:55] MEDIUM: High packet rate | src=20.20.11.112 rate=51.8 pkt/s
[2025-10-25 10:21:56] MEDIUM: High packet rate | src=20.20.11.112 rate=51.8 pkt/s
[2025-10-25 10:21:56] MEDIUM: High packet rate | src=20.20.11.112 rate=51.8 pkt/s
[2025-10-25 10:21:56] MEDIUM: High packet rate | src=20.20.11.112 rate=51.9 pkt/s
[2025-10-25 10:21:56] MEDIUM: High packet rate | src=20.20.11.112 rate=51.9 pkt/s
[2025-10-25 10:21:56] MEDIUM: High packet rate | src=20.20.11.112 rate=51.9 pkt/s
[2025-10-25 10:21:56] MEDIUM: High packet rate | src=20.20.11.112 rate=52.0 pkt/s
[2025-10-25 10:21:56] MEDIUM: High packet rate | src=20.20.11.112 rate=52.0 pkt/s
[2025-10-25 10:21:56] MEDIUM: High packet rate | src=20.20.11.112 rate=52.0 pkt/s
[2025-10-25 10:21:56] MEDIUM: High packet rate | src=20.20.11.112 rate=52.1 pkt/s
[2025-10-25 10:21:56] MEDIUM: High packet rate | src=20.20.11.112 rate=52.1 pkt/s
[2025-10-25 10:21:56] MEDIUM: High packet rate | src=20.20.11.112 rate=52.1 pkt/s
[2025-10-25 10:21:56] MEDIUM: High packet rate | src=20.20.11.112 rate=52.1 pkt/s
[2025-10-25 10:21:56] MEDIUM: High packet rate | src=20.20.11.112 rate=52.1 pkt/s
[2025-10-25 10:21:56] MEDIUM: High packet rate | src=20.20.11.112 rate=52.1 pkt/s
[2025-10-25 10:21:56] MEDIUM: High packet rate | src=20.20.11.112 rate=52.1 pkt/s
[2025-10-25 10:21:57] MEDIUM: High packet rate | src=20.20.11.112 rate=52.0 pkt/s
[2025-10-25 10:21:57] MEDIUM: High packet rate | src=20.20.11.112 rate=51.9 pkt/s
[2025-10-25 10:21:57] MEDIUM: High packet rate | src=20.20.11.112 rate=51.6 pkt/s
[2025-10-25 10:21:57] MEDIUM: High packet rate | src=20.20.11.112 rate=51.6 pkt/s
[2025-10-25 10:21:57] MEDIUM: High packet rate | src=20.20.11.112 rate=51.5 pkt/s
[2025-10-25 10:21:58] MEDIUM: High packet rate | src=20.20.11.112 rate=51.4 pkt/s
[2025-10-25 10:21:58] MEDIUM: High packet rate | src=20.20.11.112 rate=50.0 pkt/s
[2025-10-25 10:21:58] MEDIUM: High packet rate | src=20.20.11.112 rate=50.1 pkt/s
[2025-10-25 10:21:59] MEDIUM: High packet rate | src=20.20.11.112 rate=50.1 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=50.0 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=50.1 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=50.1 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=50.1 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=50.2 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=50.2 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=50.2 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=50.3 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=50.3 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=50.3 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=50.4 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=50.4 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=50.4 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=50.5 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=50.5 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=50.5 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=50.6 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=50.6 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=50.6 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=50.7 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=50.7 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=50.7 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=50.8 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=50.8 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=50.8 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=50.9 pkt/s
[2025-10-25 10:22:34] MEDIUM: High packet rate | src=185.199.109.154 rate=50.9 pkt/s
